subtask,de_task,en_task,de_base_acc_pct,de_trans_init_paper_acc_pct,delta_de_trans_init_vs_de_base_pp,en_base_acc_pct,en_sci_acc_pct,delta_en_sci_vs_en_base_pp,de_base_stderr_pct,de_trans_init_paper_stderr_pct,en_base_stderr_pct,en_sci_stderr_pct,de_base_n_samples,de_trans_init_paper_n_samples,en_base_n_samples,en_sci_n_samples
abstract_algebra,global_mmlu_full_de_abstract_algebra,global_mmlu_full_en_abstract_algebra,22.0,21.0,-1.0,22.0,21.0,-1.0,4.163331998932269,4.093601807403326,4.163331998932269,4.093601807403326,100,100,100,100
anatomy,global_mmlu_full_de_anatomy,global_mmlu_full_en_anatomy,18.51851851851852,22.962962962962962,4.444444444444443,18.51851851851852,22.962962962962962,4.444444444444443,3.3556772163131416,3.633384414073465,3.3556772163131416,3.633384414073465,135,135,135,135
astronomy,global_mmlu_full_de_astronomy,global_mmlu_full_en_astronomy,17.763157894736842,33.55263157894737,15.789473684210527,17.763157894736842,33.55263157894737,15.789473684210527,3.1103182383123396,3.8424985593952687,3.1103182383123396,3.8424985593952687,152,152,152,152
business_ethics,global_mmlu_full_de_business_ethics,global_mmlu_full_en_business_ethics,30.0,21.0,-9.0,30.0,21.0,-9.0,4.605661864718382,4.093601807403326,4.605661864718382,4.093601807403326,100,100,100,100
clinical_knowledge,global_mmlu_full_de_clinical_knowledge,global_mmlu_full_en_clinical_knowledge,21.50943396226415,29.81132075471698,8.30188679245283,21.88679245283019,29.81132075471698,7.924528301886792,2.5288394502891376,2.8152837942493876,2.5447863825108605,2.8152837942493876,265,265,265,265
college_biology,global_mmlu_full_de_college_biology,global_mmlu_full_en_college_biology,25.694444444444443,26.38888888888889,0.6944444444444464,27.083333333333332,25.694444444444443,-1.3888888888888893,3.653946969442099,3.6856510958975317,3.7161774375660164,3.653946969442099,144,144,144,144
college_chemistry,global_mmlu_full_de_college_chemistry,global_mmlu_full_en_college_chemistry,20.0,41.0,21.0,20.0,41.0,21.0,4.020151261036845,4.943110704237103,4.020151261036845,4.943110704237103,100,100,100,100
college_computer_science,global_mmlu_full_de_college_computer_science,global_mmlu_full_en_college_computer_science,26.0,33.0,7.0,25.0,33.0,8.0,4.40844002276808,4.725815626252604,4.351941398892446,4.725815626252604,100,100,100,100
college_mathematics,global_mmlu_full_de_college_mathematics,global_mmlu_full_en_college_mathematics,21.0,31.0,10.0,21.0,31.0,10.0,4.093601807403326,4.648231987117316,4.093601807403326,4.648231987117316,100,100,100,100
college_medicine,global_mmlu_full_de_college_medicine,global_mmlu_full_en_college_medicine,20.809248554913296,33.52601156069364,12.716763005780344,20.809248554913296,33.52601156069364,12.716763005780344,3.095289021774988,3.599586301247078,3.095289021774988,3.599586301247078,173,173,173,173
college_physics,global_mmlu_full_de_college_physics,global_mmlu_full_en_college_physics,21.568627450980394,37.254901960784316,15.686274509803923,21.568627450980394,37.254901960784316,15.686274509803923,4.092563958237656,4.810840148082634,4.092563958237656,4.810840148082634,102,102,102,102
computer_security,global_mmlu_full_de_computer_security,global_mmlu_full_en_computer_security,28.000000000000004,18.0,-10.000000000000004,28.999999999999996,19.0,-9.999999999999996,4.512608598542127,3.8612291966536954,4.560480215720684,3.9427724440366227,100,100,100,100
conceptual_physics,global_mmlu_full_de_conceptual_physics,global_mmlu_full_en_conceptual_physics,26.382978723404253,20.851063829787233,-5.531914893617021,26.80851063829787,21.70212765957447,-5.106382978723403,2.880998985410298,2.6556982117838728,2.895734278834235,2.694748312149623,235,235,235,235
econometrics,global_mmlu_full_de_econometrics,global_mmlu_full_en_econometrics,23.684210526315788,23.684210526315788,0.0,23.684210526315788,24.561403508771928,0.8771929824561404,3.9994238792813386,3.9994238792813346,3.9994238792813386,4.0493392977481415,114,114,114,114
electrical_engineering,global_mmlu_full_de_electrical_engineering,global_mmlu_full_en_electrical_engineering,24.137931034482758,24.137931034482758,0.0,23.448275862068964,22.758620689655174,-0.68965517241379,3.565998174135302,3.565998174135302,3.5306258743465913,3.493950380131184,145,145,145,145
elementary_mathematics,global_mmlu_full_de_elementary_mathematics,global_mmlu_full_en_elementary_mathematics,20.8994708994709,26.71957671957672,5.820105820105823,20.8994708994709,26.455026455026452,5.555555555555554,2.0940481565334834,2.2789673145776574,2.0940481565334834,2.2717467897708605,378,378,378,378
formal_logic,global_mmlu_full_de_formal_logic,global_mmlu_full_en_formal_logic,28.57142857142857,36.507936507936506,7.936507936507937,26.984126984126984,36.507936507936506,9.523809523809522,4.040610178208841,4.3062412591271535,3.970158273235172,4.3062412591271535,126,126,126,126
global_facts,global_mmlu_full_de_global_facts,global_mmlu_full_en_global_facts,18.0,18.0,0.0,18.0,18.0,0.0,3.8612291966536954,3.8612291966536954,3.8612291966536954,3.8612291966536954,100,100,100,100
high_school_biology,global_mmlu_full_de_high_school_biology,global_mmlu_full_en_high_school_biology,17.741935483870968,31.61290322580645,13.87096774193548,17.741935483870968,31.290322580645164,13.548387096774196,2.1732540689329265,2.6450874489042766,2.1732540689329265,2.637756702864586,310,310,310,310
high_school_chemistry,global_mmlu_full_de_high_school_chemistry,global_mmlu_full_en_high_school_chemistry,15.270935960591133,28.078817733990146,12.807881773399012,15.763546798029557,28.078817733990146,12.315270935960589,2.5308904539380626,3.1618563353586095,2.56390141311724,3.1618563353586095,203,203,203,203
high_school_computer_science,global_mmlu_full_de_high_school_computer_science,global_mmlu_full_en_high_school_computer_science,25.0,20.0,-5.0,25.0,19.0,-6.0,4.351941398892446,4.020151261036846,4.351941398892446,3.942772444036625,100,100,100,100
high_school_european_history,global_mmlu_full_de_high_school_european_history,global_mmlu_full_en_high_school_european_history,21.818181818181817,25.454545454545453,3.6363636363636367,21.818181818181817,25.454545454545453,3.6363636363636367,3.2250781083062887,3.401506715249039,3.2250781083062887,3.401506715249039,165,165,165,165
high_school_geography,global_mmlu_full_de_high_school_geography,global_mmlu_full_en_high_school_geography,17.67676767676768,35.35353535353536,17.67676767676768,17.67676767676768,35.35353535353536,17.67676767676768,2.7178752639044914,3.4060867235471535,2.7178752639044914,3.4060867235471535,198,198,198,198
high_school_government_and_politics,global_mmlu_full_de_high_school_government_and_politics,global_mmlu_full_en_high_school_government_and_politics,19.689119170984455,36.787564766839374,17.09844559585492,19.689119170984455,36.26943005181347,16.580310880829018,2.869787397186069,3.4801756684660368,2.869787397186069,3.4697137917043723,193,193,193,193
high_school_macroeconomics,global_mmlu_full_de_high_school_macroeconomics,global_mmlu_full_en_high_school_macroeconomics,20.256410256410255,36.41025641025641,16.153846153846153,20.256410256410255,36.41025641025641,16.153846153846153,2.0377660970371396,2.4396672985094776,2.0377660970371396,2.4396672985094776,390,390,390,390
high_school_mathematics,global_mmlu_full_de_high_school_mathematics,global_mmlu_full_en_high_school_mathematics,21.11111111111111,26.296296296296294,5.185185185185183,21.11111111111111,25.925925925925924,4.814814814814813,2.488211685765508,2.6842057873833705,2.488211685765508,2.671924078371216,270,270,270,270
high_school_microeconomics,global_mmlu_full_de_high_school_microeconomics,global_mmlu_full_en_high_school_microeconomics,21.008403361344538,34.87394957983193,13.865546218487392,21.008403361344538,34.87394957983193,13.865546218487392,2.6461398717471876,3.0956636328566547,2.6461398717471876,3.0956636328566547,238,238,238,238
high_school_physics,global_mmlu_full_de_high_school_physics,global_mmlu_full_en_high_school_physics,19.867549668874172,33.11258278145696,13.245033112582785,19.867549668874172,33.11258278145696,13.245033112582785,3.257847384436775,3.8425817186598694,3.257847384436775,3.8425817186598694,151,151,151,151
high_school_psychology,global_mmlu_full_de_high_school_psychology,global_mmlu_full_en_high_school_psychology,19.26605504587156,34.862385321100916,15.596330275229356,19.63302752293578,34.862385321100916,15.229357798165136,1.6909276884936073,2.0431254090714326,1.7030719339154337,2.0431254090714326,545,545,545,545
